COMMUNE_NOM,SEXE,YEAR,POP65PLUS,PERC65PLUS
Frisange,F,2020,354.0,0.3827440804411288
Frisange,F,2021,377.0,0.3979899921879948
Frisange,F,2022,394.0,0.4037009334303308
Frisange,F,2023,423.0,0.4214700636688819
Frisange,F,2024,437.0,0.4208397534668721
Frisange,F,2025,447.0,0.4204921733895244
Frisange,M,2020,345.0,0.3730132987349983
Frisange,M,2021,356.0,0.3758207883791145
Frisange,M,2022,375.0,0.3842331219197311
Frisange,M,2023,394.0,0.3925749529208971
Frisange,M,2024,405.0,0.3900231124807395
Frisange,M,2025,419.0,0.3941526189042745
Garnich,F,2020,154.0,0.1665044869715644
Garnich,F,2021,155.0,0.163629837636974
Garnich,F,2022,163.0,0.1670133303277765
Garnich,F,2023,178.0,0.1773561970048723
Garnich,F,2024,181.0,0.174306625577812
Garnich,F,2025,187.0,0.17591059602649
Garnich,M,2020,152.0,0.1643420910368688
Garnich,M,2021,165.0,0.1741866013554884
Garnich,M,2022,175.0,0.1793087902292078
Garnich,M,2023,178.0,0.1773561970048723
Garnich,M,2024,185.0,0.1781587057010785
Garnich,M,2025,189.0,0.1777919927754364
Goesdorf,F,2020,100.0,0.1081197967347821
Goesdorf,F,2021,99.0,0.104511960813293
Goesdorf,F,2022,100.0,0.1024621658452616
Goesdorf,F,2023,107.0,0.1066129948287715
Goesdorf,F,2024,121.0,0.1165254237288135
Goesdorf,F,2025,118.0,0.1110024081878386
Goesdorf,M,2020,93.0,0.1005514109633473
Goesdorf,M,2021,98.0,0.1034562844414416
Goesdorf,M,2022,100.0,0.1024621658452616
Goesdorf,M,2023,112.0,0.1115949104749758
Goesdorf,M,2024,117.0,0.112673343605547
Goesdorf,M,2025,120.0,0.112883804936785
Grevenmacher,F,2020,474.0,0.5124878365228673
Grevenmacher,F,2021,475.0,0.5014462766294364
Grevenmacher,F,2022,486.0,0.4979661260079715
Grevenmacher,F,2023,499.0,0.497195181491187
Grevenmacher,F,2024,518.0,0.49884437596302
Grevenmacher,F,2025,529.0,0.4976294400963275
Grevenmacher,M,2020,329.0,0.3557141312574332
Grevenmacher,M,2021,346.0,0.3652640246606
Grevenmacher,M,2022,380.0,0.3893562302119942
Grevenmacher,M,2023,403.0,0.4015424010840648
Grevenmacher,M,2024,405.0,0.3900231124807395
Grevenmacher,M,2025,414.0,0.3894491270319085
Groussbus-Wal,F,2020,71.0,0.0767650556816953
Groussbus-Wal,F,2021,76.0,0.0802314042607098
Groussbus-Wal,F,2022,81.0,0.0829943543346619
Groussbus-Wal,F,2023,157.0,0.1564321512908143
Groussbus-Wal,F,2024,165.0,0.1588983050847457
Groussbus-Wal,F,2025,164.0,0.1542745334136062
Groussbus-Wal,M,2020,70.0,0.0756838577143474
Groussbus-Wal,M,2021,78.0,0.0823427570044127
Groussbus-Wal,M,2022,82.0,0.0840189759931145
Groussbus-Wal,M,2023,152.0,0.15145023564461
Groussbus-Wal,M,2024,154.0,0.1483050847457627
Groussbus-Wal,M,2025,158.0,0.148630343166767
Habscht,F,2020,366.0,0.3957184560493026
Habscht,F,2021,372.0,0.3927116103287376
Habscht,F,2022,372.0,0.3811592569443733
Habscht,F,2023,376.0,0.3746400565945618
Habscht,F,2024,384.0,0.3697996918335901
Habscht,F,2025,410.0,0.3856863335340156
Habscht,M,2020,335.0,0.3622013190615201
Habscht,M,2021,350.0,0.3694867301480058
Habscht,M,2022,349.0,0.3575929587999631
Habscht,M,2023,372.0,0.3706545240775983
Habscht,M,2024,394.0,0.3794298921417565
Habscht,M,2025,412.0,0.3875677302829621
Heffingen,F,2020,82.0,0.0886582333225213
Heffingen,F,2021,84.0,0.0886768152355214
Heffingen,F,2022,85.0,0.0870928409684723
Heffingen,F,2023,87.0,0.0866853322439544
Heffingen,F,2024,85.0,0.0818567026194144
Heffingen,F,2025,90.0,0.0846628537025888
Heffingen,M,2020,77.0,0.0832522434857822
Heffingen,M,2021,77.0,0.0812870806325612
Heffingen,M,2022,82.0,0.0840189759931145
Heffingen,M,2023,84.0,0.0836961828562318
Heffingen,M,2024,95.0,0.0914869029275809
Heffingen,M,2025,97.0,0.0912477423239012
Helperknapp,F,2020,295.0,0.3189534003676073
Helperknapp,F,2021,304.0,0.3209256170428393
Helperknapp,F,2022,323.0,0.3309527956801951
Helperknapp,F,2023,328.0,0.3268136663910007
Helperknapp,F,2024,363.0,0.3495762711864407
Helperknapp,F,2025,373.0,0.3508804936785069
Helperknapp,M,2020,285.0,0.3081414206941291
Helperknapp,M,2021,291.0,0.3072018242087705
Helperknapp,M,2022,320.0,0.3278789307048372
Helperknapp,M,2023,327.0,0.3258172832617598
Helperknapp,M,2024,349.0,0.3360939907550077
Helperknapp,M,2025,353.0,0.3320665261890427
Hesperange,F,2020,1389.0,1.501783976646124
Hesperange,F,2021,1425.0,1.5043388298883096
Hesperange,F,2022,1456.0,1.4918491347070093
Hesperange,F,2023,1474.0,1.4686687325010213
Hesperange,F,2024,1508.0,1.4522342064714946
Hesperange,F,2025,1541.0,1.449616195063215
Hesperange,M,2020,1107.0,1.1968861498540384
Hesperange,M,2021,1127.0,1.1897472710765788
Hesperange,M,2022,1142.0,1.170117933952888
Hesperange,M,2023,1173.0,1.1687574105995238
Hesperange,M,2024,1214.0,1.1691063174114025
Hesperange,M,2025,1209.0,1.1373043347381095
Junglinster,F,2020,682.0,0.7373770137312141
Junglinster,F,2021,703.0,0.742140489411566
Junglinster,F,2022,741.0,0.7592446489133887
Junglinster,F,2023,755.0,0.752269262576846
Junglinster,F,2024,806.0,0.7761941448382126
Junglinster,F,2025,836.0,0.7864238410596027
Junglinster,M,2020,588.0,0.635744404800519
Junglinster,M,2021,607.0,0.6407955577138272
Junglinster,M,2022,629.0,0.6444870231666957
Junglinster,M,2023,633.0,0.6307105208094617
Junglinster,M,2024,668.0,0.6432973805855162
Junglinster,M,2025,681.0,0.6406155930162553
Kayl,F,2020,795.0,0.8595523840415179
Kayl,F,2021,798.0,0.8424297447374532
Kayl,F,2022,820.0,0.8401897599311455
Kayl,F,2023,853.0,0.8499148092424499
Kayl,F,2024,897.0,0.863828967642527
Kayl,F,2025,895.0,0.8419250451535221
Kayl,M,2020,619.0,0.6692615417883014
Kayl,M,2021,642.0,0.6777442307286279
Kayl,M,2022,664.0,0.6803487812125373
Kayl,M,2023,700.0,0.697468190468599
Kayl,M,2024,744.0,0.7164869029275809
Kayl,M,2025,749.0,0.7045830824804334
Kehlen,F,2020,606.0,0.6552059682127798
Kehlen,F,2021,630.0,0.6650761142664106
Kehlen,F,2022,666.0,0.6823980245294425
Kehlen,F,2023,689.0,0.6865079760469496
Kehlen,F,2024,716.0,0.689522342064715
Kehlen,F,2025,740.0,0.6961167971101746
Kehlen,M,2020,549.0,0.593577684073954
Kehlen,M,2021,559.0,0.5901230918649578
Kehlen,M,2022,578.0,0.5922313185856123
Kehlen,M,2023,595.0,0.5928479618983091
Kehlen,M,2024,637.0,0.6134437596302003
Kehlen,M,2025,651.0,0.6123946417820589
Kiischpelt,F,2020,86.0,0.0929830251919126
Kiischpelt,F,2021,90.0,0.09501087346663
Kiischpelt,F,2022,94.0,0.0963144358945459
Kiischpelt,F,2023,96.0,0.0956527804071221
Kiischpelt,F,2024,100.0,0.0963020030816641
Kiischpelt,F,2025,99.0,0.0931291390728476
Kiischpelt,M,2020,89.0,0.0962266190939561
Kiischpelt,M,2021,92.0,0.0971222262103329
Kiischpelt,M,2022,91.0,0.093240570919188
Kiischpelt,M,2023,89.0,0.0886780985024361
Kiischpelt,M,2024,96.0,0.0924499229583975
Kiischpelt,M,2025,104.0,0.0978326309452137
Koerich,F,2020,176.0,0.1902908422532165
Koerich,F,2021,180.0,0.1900217469332601
Koerich,F,2022,186.0,0.1905796284721866
Koerich,F,2023,192.0,0.1913055608142443
Koerich,F,2024,209.0,0.2012711864406779
Koerich,F,2025,218.0,0.2050722456351595
Koerich,M,2020,182.0,0.1967780300573035
Koerich,M,2021,197.0,0.2079682452547347
Koerich,M,2022,205.0,0.2100474399827863
Koerich,M,2023,203.0,0.2022657752358937
Koerich,M,2024,218.0,0.2099383667180277
Koerich,M,2025,223.0,0.2097757375075256
Kopstal,F,2020,366.0,0.3957184560493026
Kopstal,F,2021,369.0,0.3895445812131832
Kopstal,F,2022,377.0,0.3862823652366364
Kopstal,F,2023,382.0,0.3806183553700069
Kopstal,F,2024,372.0,0.3582434514637904
Kopstal,F,2025,381.0,0.3584060806742926
Kopstal,M,2020,302.0,0.3265217861390421
Kopstal,M,2021,302.0,0.3188142642991364
Kopstal,M,2022,300.0,0.3073864975357849
Kopstal,M,2023,304.0,0.3029004712892201
Kopstal,M,2024,315.0,0.3033513097072419
Kopstal,M,2025,323.0,0.3038455749548465
KÃ¤erjeng,F,2020,1018.0,1.1006595307600822
KÃ¤erjeng,F,2021,1038.0,1.0957920739818
KÃ¤erjeng,F,2022,1074.0,1.10044366117811
KÃ¤erjeng,F,2023,1098.0,1.0940286759064597
KÃ¤erjeng,F,2024,1147.0,1.1045839753466873
